Br aaa
O=C1Cc2ccccc2C12CCNCC2 aeB
O=C1Cc2ccccc2N1 aeC
O=C1Cc2ccccc2[CH]N1 aeD
O=C1Cn2c(nc3nc(=O)nc(=O)c32)N1 aeE
O=C1Cn2cccc2[CH]N1 aeF
O=C1NC2(CCCCC2)NC2=C1CCCC2 aeG
O=C1NC2(Nc3ccccc31)C(=O)Nc1ccccc12 aeH
O=C1NC2CC(N1)c1ccccc1O2 aeI
O=C1NC2CCCCC2C12OCCO2 aeJ
O=C1NC2C[CH]C(=O)N2c2sc3c(c21)C[CH]OC3 aeK
O=C1NC2NC(=O)NC2N1 aeL
O=C1NC2[CH]CC1CC2 aeM
O=C1NC2c3ccccc3C(=O)N2c2ccccc21 aeN
O=C1NC2c3ccccc3C(=O)N2c2nncc21 aeO
O=C1NC=CCN1 aeP
O=C1NC=NC12CCCC2 aeQ
O=C1NCC(=O)N2CCCC12 aeR
O=C1NCC(=O)N2CCNCC12 aeS
O=C1NCC(=O)N2Cc3ccccc3CC12 aeT
O=C1NCC(=O)N2[CH]c3[nH]c4ccccc4c3CC12 aeU
O=C1NCC23C=CC([CH]C12)O3 aeV
O=C1NCC2c3ccccc3C[CH]C12 aeW
O=C1NCCN1 aeX
O=C1NCCO1 aeY
O=C1NCCOc2ccccc21 aeZ
O=C1NCCSc2sccc21 afa
O=C1NCCc2c1[nH]c1ccccc21 afb
O=C1NCCc2ccccc21 afc
O=C1NCc2ccccc21 afd
O=C1NCc2ccncc21 afe
O=C1NCc2cncn2-c2ccccc21 aff
O=C1NCc2ncccc21 afg
O=C1NS(=O)(=O)Nc2ccccc21 afh
O=C1NS(=O)(=O)c2ccccc21 afi
O=C1N[CH]C(=O)N2CCNCC12 afj
O=C1N[CH]C(=O)N2CC[CH]C12 afk
O=C1N[CH]C2(CCCCC2)O1 afl
O=C1N[CH]C2=C(CNC2=O)N1 afm
O=C1N[CH]C2[CH]NC(=O)NC2N1 afn
O=C1N[CH]C=CN1 afo
O=C1N[CH]CN1 afp
O=C1N[CH]CNC1=O afq
O=C1N[CH]C[CH]N1 afr
O=C1N[CH]Nc2ccccc21 afs
O=C1N[CH]Nc2sc3c(c21)CCCC3 aft
O=C1N[CH]Nc2sc3c(c21)CC[CH]C3 afu
O=C1N[CH]Nc2sc3c(c21)C[CH]OC3 afv
O=C1N[CH]Nc2sccc21 afw
O=C1N[CH]Oc2ccccc21 afx
O=C1N[CH][CH]N1 afy
O=C1N[CH][CH]O1 afz
O=C1N[CH][CH][CH]N1 afA
O=C1N[CH]c2c1oc1ccccc1c2=O afB
O=C1N[CH]c2ccccc21 afC
O=C1N[CH]c2ccccc2N1 afD
