Br aaa
c1ccc2c(c1)cc1ccccn12 aym
c1ccc2c(c1)ccc1c2nnc2ccnn21 ayn
c1ccc2c(c1)ccc1c2nnc2cncn21 ayo
c1ccc2c(c1)ccc1ccccc12 ayp
c1ccc2c(c1)ccc1ccnc12 ayq
c1ccc2c(c1)ccc1nncn12 ayr
c1ccc2c(c1)ccc1nnnn12 ays
c1ccc2c(c1)ccc1occc12 ayt
c1ccc2c(c1)ccn1ccnc21 ayu
c1ccc2c(c1)cnc1ccnn12 ayv
c1ccc2c(c1)cnc1nncc12 ayw
c1ccc2c(c1)cnn1cnnc21 ayx
c1ccc2c(c1)cnn1nnnc21 ayy
c1ccc2c(c1)n1cnnc1c1nncn21 ayz
c1ccc2c(c1)nc1[nH]ncn12 ayA
c1ccc2c(c1)nc1c3ccnc3ncn21 ayB
c1ccc2c(c1)nc1cc3c(cn12)CCC3 ayC
c1ccc2c(c1)nc1ccccc12 ayD
c1ccc2c(c1)nc1ccccn12 ayE
c1ccc2c(c1)nc1n2CCC1 ayF
c1ccc2c(c1)nc1n2CCCCC1 ayG
c1ccc2c(c1)nc1n2CCN1 ayH
c1ccc2c(c1)nc1n2CCNC1 ayI
c1ccc2c(c1)nc1nc3nncn3nc12 ayJ
c1ccc2c(c1)nc1ncccc12 ayK
c1ccc2c(c1)nc1nccn12 ayL
c1ccc2c(c1)nc1ncnn12 ayM
c1ccc2c(c1)nc1ncnnc12 ayN
c1ccc2c(c1)nc1sc3ccccc3n12 ayO
c1ccc2c(c1)nc1scnc12 ayP
c1ccc2c(c1)ncc1ccoc12 ayQ
c1ccc2c(c1)ncc1cncn12 ayR
c1ccc2c(c1)ncc1nccn12 ayS
c1ccc2c(c1)ncc1nncn12 ayT
c1ccc2c(c1)ncc1nnnn12 ayU
c1ccc2c(c1)ncn1cnnc21 ayV
c1ccc2c(c1)ncn1ncnc21 ayW
c1ccc2c(c1)nnc1nncn12 ayX
c1ccc2c(c1)oc1ccccc12 ayY
c1ccc2c(c1)oc1ccnc12 ayZ
c1ccc2c(c1)oc1cncnc12 aza
c1ccc2c(c1)sc1nccn12 azb
c1ccc2c(c1)sc1nncn12 azc
c1ccc2c3c(oc2c1)CCCC3 azd
c1ccc2cc3c(cc2c1)CC3 aze
c1ccc2cc3ccccc3cc2c1 azf
c1ccc2cc3cnncc3cc2c1 azg
c1ccc2cc3n[nH]nc3cc2c1 azh
c1ccc2cccc-2cc1 azi
c1ccc2ccccc2c1 azj
c1ccc2cnccc2c1 azk
c1ccc2cnncc2c1 azl
c1ccc2n[nH]cc2c1 azm
c1ccc2nc3c(cc2c1)CCC3 azn
c1ccc2nc3c(cc2c1)CCCC3 azo
c1ccc2nc3c(nc2c1)NCCCN3 azp
c1ccc2nc3c(nc2c1)Nn1cnnc1S3 azq
c1ccc2nc3c(nc2c1)nc1ccccc13 azr
c1ccc2nc3cc4c(cc3nc2c1)OCO4 azs
c1ccc2nc3ccccc3nc2c1 azt
c1ccc2nc3nccc3nc2c1 azu
c1ccc2nc3nncc3cc2c1 azv
c1ccc2nc3occc3cc2c1 azw
c1ccc2nc3oncc3cc2c1 azx
c1ccc2nc3sccc3cc2c1 azy
c1ccc2nccc2c1 azz
c1ccc2ncccc2c1 azA
c1ccc2nccnc2c1 azB
c1ccc2ncnc2c1 azC
c1ccc2ncncc2c1 azD
c1ccc2nncc2c1 azE
c1ccc2nnnc2c1 azF
c1ccc2nnncc2c1 azG
c1ccc2nocc2c1 azH
c1ccc2nonc2c1 azI
c1ccc2occc2c1 azJ
c1ccc2ocnc2c1 azK
c1ccc2oncc2c1 azL
c1ccc2sccc2c1 azM
c1ccc2scnc2c1 azN
c1ccc2snnc2c1 azO
c1ccccc1 azP
c1ccn2c3c(nc2c1)CCCC3 azQ
c1ccn2ccnc2c1 azR
c1ccn2cncc2c1 azS
c1ccn2cnnc2c1 azT
c1ccn2nccc2c1 azU
c1ccn2ncnc2c1 azV
c1ccnc1 azW
c1ccncc1 azX
c1ccnnc1 azY
c1ccoc1 azZ
c1ccsc1 aAa
c1cn2c(n1)CCC2 aAb
c1cn2c(n1)SCC2 aAc
c1cn2ccsc2n1 aAd
c1cn2cncc2nn1 aAe
c1cn2nc3c(nc2n1)CCCC3 aAf
c1cn2nccc2nn1 aAg
c1cn2ncsc2n1 aAh
c1cn[nH]c1 aAi
c1cn[nH]n1 aAj
c1cnc2[nH]cnc2c1 aAk
c1cnc2[nH]ncc2c1 aAl
c1cnc2c(c1)CCC2 aAm
c1cnc2c(c1)CCCC2 aAn
c1cnc2c(c1)CCCCC2 aAo
c1cnc2c(c1)ccc1nnnn12 aAp
c1cnc2c3cnc4sccc4c3nn2c1 aAq
c1cnc2cc3ncccc3cc2c1 aAr
c1cnc2cccn2c1 aAs
c1cnc2cccnc2c1 aAt
c1cnc2ccncc2c1 aAu
c1cnc2ccnn2c1 aAv
c1cnc2ccsc2c1 aAw
c1cnc2cnccc2c1 aAx
c1cnc2cncn2c1 aAy
c1cnc2cnoc2c1 aAz
c1cnc2conc2c1 aAA
c1cnc2nc[nH]c2c1 aAB
c1cnc2nccn2c1 aAC
c1cnc2ncnc2c1 aAD
c1cnc2ncncc2n1 aAE
c1cnc2ncnn2c1 aAF
c1cnc2ncoc2c1 aAG
c1cnc2nncc2c1 aAH
c1cnc2nncn2c1 aAI
c1cnc2nnnn2c1 aAJ
c1cnc2nonc2n1 aAK
c1cnc2oncc2c1 aAL
c1cnc2sccc2c1 aAM
c1cnc2scnc2c1 aAN
c1cnccn1 aAO
c1cncn1 aAP
c1cncnc1 aAQ
c1cnn2cccc2c1 aAR
c1cnn2ccnc2n1 aAS
c1cnn2cnnc2c1 aAT
c1cnn2nnnc2c1 aAU
c1cnnc1 aAV
c1cnncn1 aAW
c1cnnn1 aAX
c1cnoc1 aAY
c1cnon1 aAZ
c1cnsc1 aBa
c1cocn1 aBb
c1cscn1 aBc
c1csnn1 aBd
c1n[nH]c2c1CCC2 aBe
c1n[nH]c2c1CCCC2 aBf
c1nc2c(ccc3ccsc32)s1 aBg
c1nc2c(n1)CCC2 aBh
c1nc2c(n1)CCCC2 aBi
c1nc2c(s1)CCC2 aBj
c1nc2c(s1)CCCC2 aBk
c1nc2c3c(ncn2n1)CCC3 aBl
c1nc2c3c4c(sc3ncn2n1)CCC4 aBm
c1nc2c3c4c(sc3ncn2n1)CCCC4 aBn
c1nc2c3c4c(sc3ncn2n1)CCCCC4 aBo
c1nc2c3ccoc3ncn2n1 aBp
c1nc2c3ccsc3ncn2n1 aBq
c1nc2c3cn[nH]c3ncn2n1 aBr
c1nc2c3cnnc3ncn2n1 aBs
c1nc2cc3c(cc2[nH]1)OCCO3 aBt
c1nc2cc3c(cc2s1)OCO3 aBu
c1nc2cc3ncsc3cc2s1 aBv
c1nc2n(n1)C1CC(N2)C2OCC1O2 aBw
c1nc2nc3c(cn2n1)CCC3 aBx
c1nc2nc3c(cn2n1)CCCC3 aBy
c1nc2ncn3ccnc3c2n1 aBz
c1nc2nncn2[nH]1 aBA
c1nc2nncn2n1 aBB
c1nc2nonc2n2cnnc12 aBC
c1nc2nonc2n2nnnc12 aBD
c1nc2sccc2s1 aBE
c1nc2sccn2n1 aBF
c1nc[nH]n1 aBG
c1ncc2[nH]cnc2n1 aBH
c1ncc2c(n1)-c1cnnc1CC2 aBI
c1ncc2c(n1)CCCC2 aBJ
c1ncc2c(n1)CCNC2 aBK
c1ncc2c3c(sc2n1)CCC3 aBL
c1ncc2c3c(sc2n1)CCCC3 aBM
c1ncc2c3c(sc2n1)CCCCC3 aBN
c1ncc2c[nH]nc2n1 aBO
c1ncc2cc[nH]c2n1 aBP
c1ncc2ccsc2n1 aBQ
c1ncc2cn[nH]c2n1 aBR
c1ncc2cnnc2n1 aBS
c1ncc2cnoc2n1 aBT
c1ncc2nc3n(c2n1)CCCC3 aBU
c1ncc2nc3n(c2n1)CCCCC3 aBV
c1ncc2nc[nH]c2n1 aBW
c1ncc2ncnc2n1 aBX
c1ncc2ncsc2n1 aBY
c1ncc2nnnc2n1 aBZ
c1ncc2sc3ncc4c(c3c2n1)CCC4 aCa
c1ncc2sc3ncc4c(c3c2n1)CCCC4 aCb
c1ncc2sccc2n1 aCc
c1ncncn1 aCd
c1ncnn1 aCe
c1ncon1 aCf
c1ncsn1 aCg
c1nn2cnnc2[nH]1 aCh
c1nn2cnnc2o1 aCi
c1nn2cnnc2s1 aCj
c1nnc2c(n1)CCCC2 aCk
c1nnc2c1CCC2 aCl
c1nnc2c1CCCC2 aCm
c1nnc2c1CCCCC2 aCn
c1nnc2c1cnn1cnnc21 aCo
c1nnc2c3c4c(sc3ncn12)CCCC4 aCp
c1nnc2n1CCCCC2 aCq
c1nnc2n1CCS2 aCr
c1nnc2ncn3cnnc3c12 aCs
c1nnc[nH]1 aCt
c1nncnn1 aCu
c1nnco1 aCv
c1nncs1 aCw
c1nnnn1 aCx
c1noc2c1CCC2 aCy
c1noc2c1CCCC2 aCz
c1noc2c1CCCCC2 aCA
c1noc2c1CCN2 aCB
c1onc2c1CCC2 aCC
c1onc2c1CCCC2 aCD
c1scc2c1CCCC2 aCE
n1nc2c(n1)Nc1nonc1N2 aCF
